id,AduName,NAduType,NAduName,onAskStart,onAskEnd,url
127,羅東自然教育中心,7,對面的鳥同學,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21306
128,羅東自然教育中心,7,拜訪水生朋友,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21307
129,羅東自然教育中心,7,城市鳥鄰居,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21308
130,羅東自然教育中心,7,大樹碳險隊,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21309
131,羅東自然教育中心,7,水池偵探,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21310
132,羅東自然教育中心,7,樹學家,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21311
133,羅東自然教育中心,7,一路太平老故事,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21312
134,羅東自然教育中心,7,《林場軼聞錄》,2024-02-16,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21313
135,羅東自然教育中心,7,綠網行動,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A21314
136,羅東自然教育中心,8,這些「鳥」事,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A31301
137,羅東自然教育中心,8,溼樂園,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A31302
138,羅東自然教育中心,8,當個水池神,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A31303
139,羅東自然教育中心,8,森林樂高（主題系列課程）,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-A31304
140,羅東自然教育中心,10,【戶外教學大開箱】教師研習,2023-11-06,活動0天前,https://recreation.forest.gov.tw/Education/Course?id=LD-C1301
141,羅東自然教育中心,10,森林樂高（主題系列課程）,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-C1302
142,羅東自然教育中心,10,這些「鳥」事,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-C1303
143,羅東自然教育中心,10,溼樂園,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-C1304
144,羅東自然教育中心,10,當個水池神,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=LD-C1305
145,雙流自然教育中心,7,雙流FBI,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21301
146,雙流自然教育中心,7,與大自然捉迷藏,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21302
147,雙流自然教育中心,7,溪遊記,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21305
148,雙流自然教育中心,7,生活智慧王,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21306
149,雙流自然教育中心,7," 山林""痕""角色",2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21308
150,雙流自然教育中心,7,森林解密行動,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21310
151,雙流自然教育中心,7,五木調查隊,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21312
152,雙流自然教育中心,7,墾丁追追追,2023-12-01,活動30天前,https://recreation.forest.gov.tw/Education/Course?id=SL-A21313
153,東眼山自然教育中心,11,定向東遊記-小旅讀,2024-01-10,2024-01-26,https://recreation.forest.gov.tw/Education/Course?id=DYS-D1311
154,東眼山自然教育中心,10,客製-杰力科技,2024-01-11,2024-05-16,https://recreation.forest.gov.tw/Education/Course?id=DYS-C1311
